Marca,Tipo,Modello,Memoria,pollici,Codice_PIM
Samsung,Notebook,GALAXY CHROMEBOOK GO,64 GB,"14""",396392
Samsung,Notebook,Galaxy Book4 Edge,512 GB,"15.6""",552866
Samsung,Notebook,Galaxy Book5,1000 GB,"15.6""",456689
Samsung,Notebook,Galaxy Book5 360,512 GB,"15.6""",415908
Samsung,Notebook,Galaxy Book6,512 GB,"16""",564004
Samsung,Notebook,Galaxy Book6,512 GB,"14""",564005
Samsung,Notebook,Galaxy Book6 Pro,1000 GB,"16""",564002
Samsung,Notebook,Galaxy Book6 Pro,1000 GB,"14""",564003
